Student: 0002, Mark: 10
Student: 0009, Mark: 3
Student: 0014, Mark: 9
Student: 0019, Mark: 3
Student: 0024, Mark: 7
Student: 0029, Mark: 2
Student: 0034, Mark: 1
Student: 0039, Mark: 0
Student: 0044, Mark: 6
Student: 0049, Mark: 4
Student: 0052, Mark: 3
Student: 0058, Mark: 0
Student: 0064, Mark: 3
Student: 0067, Mark: 9
Student: 0074, Mark: 9
Student: 0078, Mark: 2
Student: 0006, Mark: 2
Student: 0010, Mark: 7
Student: 0014, Mark: 8
Student: 0019, Mark: 7
Student: 0024, Mark: 9
Student: 0029, Mark: 6
Student: 0034, Mark: 10
Student: 0039, Mark: 4
Student: 0044, Mark: 1
Student: 0049, Mark: 7
Student: 0053, Mark: 6
Student: 0058, Mark: 2
Student: 0063, Mark: 4
Student: 0067, Mark: 10
Student: 0071, Mark: 2
Student: 0079, Mark: 7
Student: 0004, Mark: 4
Student: 0007, Mark: 1
Student: 0012, Mark: 3
Student: 0018, Mark: 10
Student: 0020, Mark: 3
Student: 0026, Mark: 9
Student: 0030, Mark: 0
Student: 0033, Mark: 5
Student: 0039, Mark: 9
Student: 0044, Mark: 2
Student: 0051, Mark: 4
Student: 0057, Mark: 10
Student: 0064, Mark: 2
Student: 0067, Mark: 8
Student: 0070, Mark: 8
Student: 0073, Mark: 5
Student: 0077, Mark: 8
Student: 0004, Mark: 9
Student: 0007, Mark: 2
Student: 0012, Mark: 10
Student: 0018, Mark: 3
Student: 0023, Mark: 5
Student: 0025, Mark: 6
Student: 0026, Mark: 1
Student: 0031, Mark: 8
Student: 0035, Mark: 5
Student: 0037, Mark: 5
Student: 0039, Mark: 6
Student: 0044, Mark: 1
Student: 0049, Mark: 10
Student: 0051, Mark: 6
Student: 0057, Mark: 9
Student: 0062, Mark: 9
Student: 0066, Mark: 0
Student: 0072, Mark: 5
